sample_stamp_sec,sample_stamp_nanosec,pose1_stamp_sec,pose1_stamp_nanosec,pose1_x,pose1_y,pose1_z,pose2_stamp_sec,pose2_stamp_nanosec,pose2_x,pose2_y,pose2_z,distance,distance_sum
1755383509,179500589,1755383509,154960891,100.1860122680664,44.98183822631836,107.24752807617188,1755383509,133896175,100.1350350837753,44.98147763567921,107.43983213804516,0.198946,442.719303
1755383509,679493693,1755383509,654296556,100.41614532470703,45.29926300048828,106.38680267333984,1755383509,633899328,100.36493122188509,45.29696631645379,106.64968843300018,0.267838,442.987141
1755383510,179529226,1755383510,149531285,100.63685607910156,45.615455627441406,105.5536880493164,1755383510,133936213,100.58666476302378,45.613169431439545,105.88608621239875,0.336174,443.323315
1755383510,679575530,1755383510,649601627,100.85022735595703,45.93121337890625,104.74500274658203,1755383510,633923726,100.80017278760553,45.93002996716902,105.14999494844176,0.408075,443.731390
1755383511,179478102,1755383511,150649911,101.05430603027344,46.24671936035156,103.96626281738281,1755383511,133901909,101.00545333478179,46.24757603688194,104.44213854954194,0.478377,444.209767
1755383511,679482610,1755383511,652597040,101.25283813476562,46.56543731689453,103.21309661865234,1755383511,633892951,101.20249370185098,46.56582169673314,103.76324144319928,0.552444,444.762211
1755383512,179494860,1755383512,154090273,101.4415512084961,46.885196685791016,102.50010681152344,1755383512,133919520,101.39127756565712,46.88477592562349,103.11400360455762,0.615952,445.378163
1755383512,679493167,1755383512,658774070,101.6251220703125,47.20685577392578,101.818359375,1755383512,633900263,101.57175664058693,47.2043899310644,102.4951969161315,0.678943,446.057106
1755383513,179473639,1755383513,161157997,101.79862213134766,47.52740478515625,101.17311096191406,1755383513,133933014,101.74394720250477,47.52472640185549,101.90733326886541,0.736260,446.793366
1755383513,679615266,1755383513,665134025,101.96345520019531,47.85009765625,100.559326171875,1755383513,634056563,101.90784148572787,47.845811615422704,101.35096932355543,0.793606,447.586972
1755383514,179484337,1755383514,167173905,102.11813354492188,48.172428131103516,99.99213409423828,1755383514,133935124,102.06331041669115,48.167417913746434,100.82703077002664,0.836710,448.423681
1755383514,679480130,1755383514,669426488,102.26609802246094,48.49554443359375,99.46215057373047,1755383514,633934702,102.21045968091441,48.48979025075994,100.33560912222634,0.875248,449.298929
1755383515,179465850,1755383515,172058637,102.4040298461914,48.816864013671875,98.97135925292969,1755383515,133909142,102.349226732232,48.812830682089285,99.87732355544179,0.907629,450.206558
1755383515,679476412,1755383515,671992105,102.53520965576172,49.1402587890625,98.51841735839844,1755383515,633922098,102.4796146992663,49.136580726562784,99.4525321405664,0.935775,451.142333
1755383516,179543275,1755383516,164220110,102.65547943115234,49.46270751953125,98.1155776977539,1755383516,134112394,102.60164221247449,49.46113457568154,99.06150562516993,0.947460,452.089793
1755383516,679445143,1755383516,661870325,102.7692642211914,49.78755187988281,97.7606430053711,1755383516,633940093,102.71516844585796,49.78613917026604,98.70497715730795,0.945883,453.035677
